order_id,customer_id,order_date,amount
10001,103,2025-02-01,379.92
10002,436,2025-02-01,478.04
10003,861,2025-02-01,127.67
10004,271,2025-02-01,168.53
10005,107,2025-02-01,100.07
10006,72,2025-02-01,292.7
10007,701,2025-02-01,85.87
10008,21,2025-02-01,184.54
10009,615,2025-02-01,351.54
10010,122,2025-02-01,284.46
10011,467,2025-02-01,199.37
10012,215,2025-02-01,215.92
10013,331,2025-02-01,285.43
10014,459,2025-02-01,12.87
10015,88,2025-02-01,48.47
10016,373,2025-02-01,441.82
10017,100,2025-02-01,48.16
10018,872,2025-02-01,356.33
10019,664,2025-02-01,460.82
10020,131,2025-02-01,142.63
10021,662,2025-02-01,191.54
10022,309,2025-02-01,288.77
10023,770,2025-02-01,442.04
10024,344,2025-02-01,471.53
10025,492,2025-02-01,372.39
10026,414,2025-02-01,52.44
10027,806,2025-02-01,337.89
10028,386,2025-02-01,211.05
10029,192,2025-02-01,240.64
10030,277,2025-02-01,34.08
10031,161,2025-02-01,103.62
10032,460,2025-02-01,397.35
10033,314,2025-02-01,232.44
10034,22,2025-02-01,157.81
10035,253,2025-02-01,198.17
10036,748,2025-02-01,428.66
10037,857,2025-02-01,377.01
10038,561,2025-02-01,143.43
10039,475,2025-02-01,67.58
10040,59,2025-02-01,133.48
10041,511,2025-02-01,461.17
10042,682,2025-02-01,294.98
10043,476,2025-02-01,271.41
10044,700,2025-02-01,302.23
10045,783,2025-02-01,189.35
10046,190,2025-02-01,405.48
10047,687,2025-02-01,266.41
10048,563,2025-02-01,67.21
10049,876,2025-02-01,73.24
10050,567,2025-02-01,273.06
10051,244,2025-02-01,468.92
10052,832,2025-02-01,161.09
10053,505,2025-02-01,436.08
10054,131,2025-02-01,384.41
10055,485,2025-02-01,131.43
10056,819,2025-02-01,27.81
10057,647,2025-02-01,59.91
10058,21,2025-02-01,366.96
10059,841,2025-02-01,107.84
10060,167,2025-02-01,191.92
10061,274,2025-02-01,255.83
10062,388,2025-02-01,365.48
10063,601,2025-02-01,65.48
10064,316,2025-02-01,209.12
10065,14,2025-02-01,247.69
10066,242,2025-02-01,275.01
10067,777,2025-02-01,411.0
10068,346,2025-02-01,94.12
10069,565,2025-02-01,405.84
10070,898,2025-02-01,349.51
10071,340,2025-02-01,282.38
10072,92,2025-02-01,352.77
10073,367,2025-02-01,211.89
10074,455,2025-02-01,77.81
10075,428,2025-02-01,336.22
10076,509,2025-02-01,267.09
10077,776,2025-02-01,323.29
10078,35,2025-02-01,175.62
10079,206,2025-02-01,454.36
10080,81,2025-02-01,297.81
